25,0.066667
25.066667,0.233333
25.3,0.3
25.6,0.3
25.9,0.466667
26.366667,0.233333
26.6,0.166667
26.766667,0.133333
26.9,0.166667
27.066667,0.066666
27.133333,0.066667
27.2,0.166667
27.366667,0.066666
27.433333,0.933334
28.366667,0.133333
28.5,0.166667
28.666667,1
29.666667,0.133333
29.8,0.166667
29.966667,0.833333
30.8,0.166667
30.966667,0.233333
31.2,0.066667
31.266667,0.166666
31.433333,0.066667
31.5,0.033333
31.533333,0.133334
31.666667,0.066666
31.733333,0.033334
31.766667,0.033333
31.8,0.033333
31.833333,0.133334
31.966667,0.033333
32,0.1
32.1,0.166667
32.266667,0.033333
32.3,0.133333
32.433333,0.066667
32.5,0.233333
32.733333,0.233334
32.966667,0.066666
33.033333,0.033334
33.066667,0.066666
33.133333,0.133334
33.266667,0.166666
33.433333,0.133334
33.566667,0.166666
33.733333,0.066667
33.8,0.066667
33.866667,0.166666
34.033333,0.233334
34.266667,0.066666
34.333333,0.166667
34.5,0.5
